Problema, n, K, m, z, S, CPU
input/max_div_15_2.txt, 15, 2, 2, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.000104 seconds

input/max_div_15_2.txt, 15, 2, 3, 25.7262, (8.650000  9.980000) (0.580000  1.290000) (9.960000  8.170000) , 0.000132 seconds

input/max_div_15_2.txt, 15, 2, 4, 48.4139, (8.650000  9.980000) (0.580000  1.290000) (9.960000  8.170000) (1.590000  1.570000) , 0.000158 seconds

input/max_div_15_2.txt, 15, 2, 5, 73.5619, (8.650000  9.980000) (0.580000  1.290000) (9.960000  8.170000) (1.590000  1.570000) (8.410000  9.980000) , 0.000206 seconds

input/max_div_20_2.txt, 20, 2, 2, 8.51033, (0.630000  5.960000) (8.670000  3.170000) , 0.000139 seconds

input/max_div_20_2.txt, 20, 2, 3, 21.9961, (0.630000  5.960000) (8.670000  3.170000) (8.570000  8.360000) , 0.000162 seconds

input/max_div_20_2.txt, 20, 2, 4, 39.5682, (0.630000  5.960000) (8.670000  3.170000) (8.570000  8.360000) (1.160000  4.470000) , 0.000205 seconds

input/max_div_20_2.txt, 20, 2, 5, 61.2393, (0.630000  5.960000) (8.670000  3.170000) (8.570000  8.360000) (1.160000  4.470000) (8.780000  7.430000) , 0.000256 seconds

input/max_div_30_2.txt, 30, 2, 2, 11.6571, (9.840000  8.960000) (2.070000  0.270000) , 0.000181 seconds

input/max_div_30_2.txt, 30, 2, 3, 28.9443, (9.840000  8.960000) (2.070000  0.270000) (1.910000  9.600000) , 0.000235 seconds

input/max_div_30_2.txt, 30, 2, 4, 52.7712, (9.840000  8.960000) (2.070000  0.270000) (1.910000  9.600000) (8.000000  1.530000) , 0.000312 seconds

input/max_div_30_2.txt, 30, 2, 5, 80.9102, (9.840000  8.960000) (2.070000  0.270000) (1.910000  9.600000) (8.000000  1.530000) (0.650000  3.260000) , 0.000346 seconds

input/max_div_15_3.txt, 15, 3, 2, 13.2732, (9.880000  9.880000  6.260000) (0.300000  0.920000  4.230000) , 0.000106 seconds

input/max_div_15_3.txt, 15, 3, 3, 30.3241, (9.880000  9.880000  6.260000) (0.300000  0.920000  4.230000) (1.710000  1.950000  9.220000) , 0.000131 seconds

input/max_div_15_3.txt, 15, 3, 4, 59.7638, (9.880000  9.880000  6.260000) (0.300000  0.920000  4.230000) (1.710000  1.950000  9.220000) (6.650000  9.450000  1.020000) , 0.000148 seconds

input/max_div_15_3.txt, 15, 3, 5, 94.7487, (9.880000  9.880000  6.260000) (0.300000  0.920000  4.230000) (1.710000  1.950000  9.220000) (6.650000  9.450000  1.020000) (9.470000  3.560000  1.830000) , 0.000248 seconds

input/max_div_20_3.txt, 20, 3, 2, 11.8003, (9.810000  2.050000  1.830000) (0.650000  3.760000  9.070000) , 0.000141 seconds

input/max_div_20_3.txt, 20, 3, 3, 30.8727, (9.810000  2.050000  1.830000) (0.650000  3.760000  9.070000) (8.870000  9.560000  5.340000) , 0.000178 seconds

input/max_div_20_3.txt, 20, 3, 4, 56.5347, (9.810000  2.050000  1.830000) (0.650000  3.760000  9.070000) (8.870000  9.560000  5.340000) (0.830000  7.060000  3.340000) , 0.000219 seconds

input/max_div_20_3.txt, 20, 3, 5, 92.8297, (9.810000  2.050000  1.830000) (0.650000  3.760000  9.070000) (8.870000  9.560000  5.340000) (0.830000  7.060000  3.340000) (9.600000  2.020000  9.000000) , 0.000277 seconds

input/max_div_30_3.txt, 30, 3, 2, 13.0737, (8.060000  9.590000  0.270000) (6.710000  0.350000  9.420000) , 0.000200 seconds

input/max_div_30_3.txt, 30, 3, 3, 33.8423, (8.060000  9.590000  0.270000) (6.710000  0.350000  9.420000) (1.530000  8.090000  9.560000) , 0.000250 seconds

input/max_div_30_3.txt, 30, 3, 4, 63.5184, (8.060000  9.590000  0.270000) (6.710000  0.350000  9.420000) (1.530000  8.090000  9.560000) (6.750000  0.070000  1.800000) , 0.000322 seconds

input/max_div_30_3.txt, 30, 3, 5, 99.5088, (8.060000  9.590000  0.270000) (6.710000  0.350000  9.420000) (1.530000  8.090000  9.560000) (6.750000  0.070000  1.800000) (7.540000  8.930000  9.660000) , 0.000408 seconds

